City_ID,City,Country,Max Temp,Current,Lat,Lng,Hotel Name
470,Ambagarh Chauki,IN,85.8,overcast clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
474,Hue,VN,78.8,broken clouds,16.4667,107.6,Saigon Morin Hotel
479,Mineiros,BR,82.71,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
481,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
482,Huejuquilla El Alto,MX,79.25,few clouds,22.6,-103.8667,Hotel Huexuquillan
485,Bolitoc,PH,78.51,scattered clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
487,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
489,Buchanan,LR,84.2,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
492,Bam,IR,78.51,scattered clouds,29.105999999999998,58.357,Bam Tourist Hotel
494,Cidreira,BR,80.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
502,Vaitape,PF,81.88,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
505,Nizwa,OM,81.32,few clouds,22.9333,57.5333,Orient Apartments
506,Paita,PE,84.2,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
511,Mazamari,PE,85.39,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
519,Meulaboh,ID,78.01,overcast clouds,4.1363,96.1285,Kost Pria
520,Saint-Leu,RE,80.6,light rain,-21.15,55.2833,La Caz Oceane
522,Livramento,BR,87.8,light rain,-3.0254,-60.1803,Refúgio Samauma
524,Noumea,NC,78.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
538,Kamalia,PK,77.58,clear sky,30.7333,72.65,Mian Autos
539,Santa Isabel,BR,82.4,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
541,San Antero,CO,83.73,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
542,Torit,SS,77.97,overcast clouds,4.4133,32.5678,Diplomat Guest House
544,Canala,NC,77.0,overcast clouds,-21.5333,165.95,Gite de Kuiné
552,Palm Springs,US,89.01,clear sky,33.8303,-116.5453,Colony Palms Hotel
562,Mankachar,IN,79.23,clear sky,25.5333,89.8667,Aman mankachar
565,Beira,MZ,78.8,few clouds,-19.8436,34.8389,Beira Terrace Hotel
568,Baculin,PH,76.96,overcast clouds,7.4525,126.5842,Shovy's Cove
569,Luanda,AO,86.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
572,Vanimo,PG,77.25,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
577,Tomatlan,MX,89.73,clear sky,19.9333,-105.25,Norma franco
579,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
582,Pontes E Lacerda,BR,85.87,scattered clouds,-15.2261,-59.3353,Hotel Bressan
583,Tabou,CI,82.2,overcast clouds,4.423,-7.3528,hotêl doufoulougou
587,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
593,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
595,Garissa,KE,87.3,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
596,Miraflores,MX,78.8,few clouds,19.2167,-98.8083,Hotel Mansión
598,Amarpur,IN,85.46,clear sky,25.0333,86.9,Amit kirana store
