City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current
574,Sterling,39.0062,-77.4286,66.0,77,90,8.05,US,2021-04-10 18:03:14,overcast clouds
575,Krivodanovka,55.0881,82.6551,33.8,64,0,4.47,RU,2021-04-10 18:07:05,clear sky
576,Gamba,-2.65,10.0,76.82,86,100,4.7,GA,2021-04-10 18:07:06,overcast clouds
577,Tomatlan,19.9333,-105.25,89.73,29,8,9.62,MX,2021-04-10 18:07:06,clear sky
578,Strezhevoy,60.7333,77.5889,42.8,45,0,6.71,RU,2021-04-10 18:07:06,clear sky
579,Belmonte,-15.8631,-38.8828,84.2,70,40,12.66,BR,2021-04-10 18:07:06,scattered clouds
580,Krasnoselkup,65.7,82.4667,33.22,97,100,14.0,RU,2021-04-10 18:07:07,overcast clouds
581,Talas,38.6908,35.5538,32.0,100,90,1.14,TR,2021-04-10 18:07:07,snow
582,Pontes E Lacerda,-15.2261,-59.3353,85.87,62,46,4.59,BR,2021-04-10 18:03:29,scattered clouds
583,Tabou,4.423,-7.3528,82.2,79,100,12.08,CI,2021-04-10 18:07:07,overcast clouds
584,Mackay,-21.15,149.2,71.6,100,13,4.61,AU,2021-04-10 18:07:08,few clouds
585,Blagoyevo,63.3667,47.9167,38.55,80,100,13.38,RU,2021-04-10 18:07:08,overcast clouds
586,Ulladulla,-35.35,150.4667,57.99,62,1,12.66,AU,2021-04-10 18:07:08,clear sky
587,Natal,-5.795,-35.2094,86.0,70,40,16.11,BR,2021-04-10 18:07:10,scattered clouds
588,Broome,42.2506,-75.833,73.0,59,1,5.75,US,2021-04-10 18:07:10,clear sky
589,Kabare,-2.4683,28.8242,62.56,96,96,1.79,CD,2021-04-10 18:02:43,light rain
590,Derzhavinsk,51.1,66.3167,33.8,88,39,12.66,KZ,2021-04-10 18:05:42,scattered clouds
591,Ikornnes,62.3873,6.557,34.0,93,100,3.0,NO,2021-04-10 18:07:10,snow
592,Nautla,20.2167,-96.7833,90.09,45,0,10.69,MX,2021-04-10 18:07:11,clear sky
593,Cap Malheureux,-19.9842,57.6142,80.01,75,99,5.01,MU,2021-04-10 18:07:11,overcast clouds
594,Guerrero Negro,27.9769,-114.0611,66.29,61,78,14.32,MX,2021-04-10 18:02:59,broken clouds
595,Garissa,-0.4536,39.6401,87.3,52,100,13.49,KE,2021-04-10 18:07:12,overcast clouds
596,Miraflores,19.2167,-98.8083,78.8,17,20,4.61,MX,2021-04-10 18:03:13,few clouds
597,Kanigoro,-8.13,112.219,73.54,95,49,2.86,ID,2021-04-10 18:07:12,scattered clouds
598,Amarpur,25.0333,86.9,85.46,11,0,1.68,IN,2021-04-10 18:07:12,clear sky
599,Pala,9.3642,14.9046,94.96,18,75,4.07,TD,2021-04-10 18:07:13,broken clouds
